#node	date	numeric date
NODE_0000002	2008-12-16	2008.958785
NODE_0000008	2020-07-01	2020.498634
MW024906	2020-07-01	2020.498634
MW024914	2020-07-01	2020.498634
NODE_0000006	2015-11-27	2015.906431
NODE_0000007	2018-08-04	2018.590790
MT245881	2020-01-15	2020.039617
MT467072	2020-02-04	2020.094262
NODE_0000005	2018-05-29	2018.405594
NODE_0000009	2018-10-01	2018.749401
NODE_0000010	2019-09-05	2019.679043
MT803253	2020-03-13	2020.198087
OP536201	2020-12-09	2020.938525
NODE_0000012	2019-10-12	2019.778772
OP536171	2020-12-09	2020.938525
NODE_0000013	2019-11-20	2019.887288
MT467091	2020-03-09	2020.187158
NODE_0000014	2020-01-07	2020.017760
MT659242	2020-02-12	2020.116120
MT342264	2020-01-07	2020.017760
MT659258	2020-02-22	2020.143443
NODE_0000016	2019-09-07	2019.683792
NODE_0000011	2019-12-24	2019.980531
OP536209	2020-12-13	2020.949454
NODE_0000018	2020-06-01	2020.415388
OP536200	2020-12-10	2020.941257
OP536205	2020-12-12	2020.946721
NODE_0000019	2019-12-12	2019.947352
MW855448	2020-10-04	2020.758197
MW855316	2020-03-03	2020.170765
MT422929	2020-02-10	2020.110656
MT467156	2020-03-10	2020.189891
NODE_0000004	2018-11-04	2018.842888
NODE_0000003	2019-08-20	2019.634341
MT582250	2020-02-14	2020.121585
NODE_0000001	2019-11-04	2019.843512
MT245993	2020-01-01	2020.001366
MT422985	2020-03-02	2020.168033
NODE_0000000	2020-01-02	2020.004098
MT245316	2020-01-02	2020.004098
MT245443	2020-01-02	2020.004098
NODE_0000022	2019-10-26	2019.818624
NODE_0000023	2020-10-12	2020.780055
MW464937	2020-10-12	2020.780055
MZ046764	2020-10-12	2020.780055
MW464929	2020-10-12	2020.780055
MW713212	2020-10-12	2020.780055
NODE_0000026	2020-06-08	2020.436722
NODE_0000037	2021-01-23	2021.061644
MW796055	2021-01-23	2021.061644
MW796063	2021-01-23	2021.061644
NODE_0000038	2020-09-20	2020.719688
NODE_0000039	2020-10-26	2020.819617
OP838508	2020-11-19	2020.883880
NODE_0000024	2020-11-19	2020.883880
MW796047	2020-11-19	2020.883880
MW713156	2020-11-19	2020.883880
NODE_0000041	2021-02-13	2021.118379
ON531335	2021-09-05	2021.678082
NODE_0000042	2021-08-04	2021.590411
OK484412	2021-08-04	2021.590411
OK484404	2021-08-04	2021.590411
OK484420	2021-08-05	2021.593151
NODE_0000027	2020-09-13	2020.701600
NODE_0000032	2021-10-31	2021.830698
OP106301	2022-01-02	2022.004110
OP840047	2022-01-13	2022.034247
NODE_0000033	2020-12-29	2020.993342
OK324102	2021-06-17	2021.458904
NODE_0000034	2021-07-17	2021.541096
OM405730	2021-07-17	2021.541096
OM405738	2021-07-17	2021.541096
NODE_0000028	2021-02-04	2021.095871
NODE_0000030	2021-03-07	2021.180700
OM405813	2021-03-19	2021.212329
OM405821	2021-03-19	2021.212329
NODE_0000035	2021-03-19	2021.212329
MZ556066	2021-03-19	2021.212329
MZ556058	2021-03-19	2021.212329
NODE_0000044	2020-07-22	2020.557031
NODE_0000045	2021-06-02	2021.418861
NODE_0000046	2021-07-14	2021.532877
OK324083	2021-07-14	2021.532877
OK324091	2021-07-14	2021.532877
NODE_0000047	2021-12-29	2021.992231
OP623646	2022-08-03	2022.587671
NODE_0000049	2022-09-01	2022.667607
OQ240529	2022-10-12	2022.779452
OR012168	2023-01-08	2023.020548
NODE_0000051	2022-07-01	2022.496268
OQ796355	2022-12-11	2022.943836
NODE_0000052	2022-09-04	2022.676158
OQ240521	2022-09-30	2022.746575
OR166948	2023-03-07	2023.179452
OQ368171	2022-12-05	2022.927397
OR014210	2023-02-03	2023.091781
NODE_0000053	2022-10-27	2022.819369
OQ460515	2022-11-02	2022.836986
OR013148	2023-02-17	2023.130137
NODE_0000057	2022-04-04	2022.257258
OQ665536	2022-09-30	2022.746575
OP590357	2022-05-09	2022.352055
OP590733	2022-05-08	2022.349315
NODE_0000043	2022-05-05	2022.339845
NODE_0000058	2022-09-06	2022.681577
OQ234181	2022-10-27	2022.820548
OQ667048	2023-01-02	2023.004110
NODE_0000048	2022-05-30	2022.410752
OP844028	2022-07-11	2022.524658
NODE_0000050	2022-07-10	2022.521173
OR008940	2023-01-17	2023.045205
NODE_0000054	2022-07-11	2022.523482
NODE_0000061	2022-08-24	2022.644272
OQ246299	2022-10-20	2022.801370
OQ666336	2022-11-13	2022.867123
NODE_0000056	2022-07-11	2022.525792
NODE_0000064	2022-09-12	2022.697957
OQ663861	2022-12-10	2022.941096
OR009013	2023-01-06	2023.015068
NODE_0000059	2022-07-12	2022.527397
OP844530	2022-07-12	2022.527397
NODE_0000060	2022-09-26	2022.736751
NODE_0000071	2022-11-13	2022.866469
OQ368083	2022-12-05	2022.927397
OR013403	2023-02-12	2023.116438
NODE_0000062	2022-09-27	2022.738356
OQ234077	2022-10-21	2022.804110
OQ664526	2022-09-27	2022.738356
NODE_0000072	2020-10-18	2020.796853
NODE_0000073	2021-03-27	2021.234963
OM405285	2021-04-16	2021.289041
NODE_0000065	2021-04-16	2021.289041
MZ556053	2021-04-16	2021.289041
MZ556045	2021-04-16	2021.289041
NODE_0000077	2020-11-15	2020.873581
OQ719007	2021-04-17	2021.291781
NODE_0000078	2021-11-28	2021.907930
OP845088	2022-07-05	2022.508219
OP845579	2022-07-16	2022.538356
NODE_0000080	2022-07-24	2022.560274
OP841802	2022-07-24	2022.560274
OQ202623	2022-08-23	2022.642466
NODE_0000081	2021-08-13	2021.615258
NODE_0000091	2022-03-15	2022.201732
OP213866	2022-06-06	2022.428767
OQ463419	2022-11-01	2022.834247
NODE_0000092	2022-01-07	2022.017834
OP695628	2022-03-23	2022.223288
OP840159	2022-06-17	2022.458904
NODE_0000087	2021-09-06	2021.681002
OM405234	2021-10-21	2021.804110
NODE_0000074	2021-12-22	2021.974608
OP843589	2022-06-21	2022.469863
NODE_0000075	2021-12-22	2021.974608
OP623758	2022-08-10	2022.606849
OP775605	2022-04-14	2022.283562
NODE_0000082	2022-02-18	2022.133241
OP774765	2022-05-18	2022.376712
NODE_0000083	2022-06-15	2022.453538
NODE_0000084	2022-08-03	2022.587079
OQ202503	2022-09-08	2022.686301
OR201303	2023-03-21	2023.217808
NODE_0000085	2022-08-07	2022.598926
OQ233153	2022-10-24	2022.812329
OR201918	2023-03-16	2023.204110
NODE_0000093	2021-01-20	2021.052427
OQ718999	2021-03-16	2021.204110
NODE_0000094	2021-05-08	2021.349868
OK324067	2021-07-11	2021.524658
NODE_0000086	2021-12-16	2021.956326
NODE_0000111	2022-03-21	2022.218741
OQ202607	2022-08-16	2022.623288
NODE_0000112	2022-09-18	2022.714462
OR012663	2023-02-22	2023.143836
NODE_0000113	2022-11-23	2022.894193
OR009861	2022-12-25	2022.982192
NODE_0000114	2023-04-05	2023.258904
OR202165	2023-04-05	2023.258904
OR202173	2023-04-05	2023.258904
NODE_0000095	2021-12-16	2021.956326
NODE_0000097	2022-02-07	2022.102627
OP775906	2022-03-30	2022.242466
OP011208	2022-05-15	2022.368493
OP212573	2022-04-13	2022.280822
NODE_0000098	2022-02-20	2022.139563
OP774627	2022-04-03	2022.253425
NODE_0000099	2022-03-05	2022.174940
OQ463587	2022-09-30	2022.746575
OP912797	2022-08-09	2022.604110
NODE_0000102	2022-11-13	2022.867123
OR201543	2023-02-09	2023.108219
OR008972	2023-01-08	2023.020548
OQ917670	2022-11-13	2022.867123
NODE_0000108	2023-04-07	2023.264384
OR201327	2023-04-10	2023.272603
OR201311	2023-04-07	2023.264384
OR201319	2023-04-07	2023.264384
NODE_0000103	2022-11-20	2022.887436
OR202046	2023-03-02	2023.165753
NODE_0000104	2022-11-21	2022.889041
OQ465106	2022-11-21	2022.889041
OR012679	2023-03-04	2023.171233
NODE_0000115	2021-09-27	2021.738356
OP085140	2021-10-21	2021.804110
OP071375	2021-09-27	2021.738356
OP696397	2021-11-23	2021.894521
OP071359	2021-09-27	2021.738356
ON371374	2022-02-08	2022.105479
ON563827	2021-12-16	2021.957534
OP512190	2022-02-24	2022.149315
NODE_0000130	2021-10-29	2021.826010
OM715834	2021-11-16	2021.875342
OP687515	2021-11-03	2021.839726
NODE_0000145	2022-02-24	2022.148209
OP096469	2022-04-07	2022.264384
OP211506	2022-04-14	2022.283562
NODE_0000109	2021-09-29	2021.744970
OP071629	2021-09-30	2021.746575
NODE_0000110	2021-09-30	2021.746575
OM405501	2021-09-30	2021.746575
NODE_0000116	2021-10-06	2021.762542
OP952684	2021-12-06	2021.930137
NODE_0000118	2021-10-06	2021.764148
OP706490	2021-12-18	2021.963014
NODE_0000119	2021-10-07	2021.765753
OP072029	2021-10-07	2021.765753
NODE_0000120	2021-10-12	2021.780586
OP086911	2021-10-13	2021.782192
NODE_0000121	2021-10-13	2021.782192
OP086983	2021-10-13	2021.782192
NODE_0000122	2021-11-15	2021.872793
OP105739	2022-03-07	2022.179452
NODE_0000123	2021-11-16	2021.874399
ON904990	2022-03-21	2022.217808
NODE_0000124	2021-11-16	2021.876005
OP086256	2022-01-10	2022.026027
NODE_0000125	2021-11-17	2021.877611
OP845501	2022-06-16	2022.456164
NODE_0000126	2021-11-17	2021.879217
ON370023	2022-02-20	2022.138356
NODE_0000127	2021-11-18	2021.880822
OM715402	2021-11-18	2021.880822
NODE_0000128	2021-11-30	2021.913699
OP843653	2021-11-30	2021.913699
NODE_0000129	2021-12-02	2021.919178
OM731280	2021-12-02	2021.919178
NODE_0000131	2021-12-13	2021.949315
ON533174	2021-12-13	2021.949315
NODE_0000132	2022-01-03	2022.007984
NODE_0000117	2022-05-18	2022.376712
OP839969	2022-06-14	2022.450685
OP938821	2022-05-18	2022.376712
NODE_0000134	2022-01-04	2022.009589
OP844218	2022-01-04	2022.009589
NODE_0000135	2022-01-18	2022.047945
OP841182	2022-01-18	2022.047945
NODE_0000136	2022-02-17	2022.130137
OP012324	2022-02-17	2022.130137
NODE_0000137	2022-02-23	2022.146575
OP960157	2022-02-23	2022.146575
OP512214	2022-03-04	2022.171233
