strain	strain_name	date	country	segment
MT056202	A/California/01/2020	2020-01-02	USA	4
MT105434	A/Florida/01/2020	2020-01-02	USA	4
MT105458	A/Maine/01/2020	2020-01-03	USA	4
MT168634	A/California/07/2020	2020-01-06	USA	4
MT168693	A/California/03/2020	2020-01-01	USA	4
MT168702	A/California/03/2020	2020-01-01	USA	4
MT168789	A/Delaware/01/2020	2020-01-02	USA	4
MT169082	A/Montana/02/2020	2020-01-07	USA	4
MT169091	A/Montana/02/2020	2020-01-07	USA	4
MT169171	A/New Jersey/01/2020	2020-01-05	USA	4
MT169188	A/New York/02/2020	2020-01-03	USA	4
MT169196	A/New York/05/2020	2020-01-08	USA	4
MT169204	A/New York/06/2020	2020-01-12	USA	4
MT169212	A/New York/07/2020	2020-01-12	USA	4
MT169276	A/Rhode Island/01/2020	2020-01-02	USA	4
MT169285	A/Texas/17/2020	2020-01-07	USA	4
MT169308	A/Utah/01/2020	2020-01-07	USA	4
MT169316	A/Utah/01/2020	2020-01-07	USA	4
MT169324	A/Vermont/02/2020	2020-01-08	USA	4
MT169332	A/Vermont/03/2020	2020-01-08	USA	4
MT169340	A/Vermont/04/2020	2020-01-08	USA	4
MT169420	A/Wisconsin/01/2020	2020-01-07	USA	4
MT169428	A/Wisconsin/01/2020	2020-01-07	USA	4
MT169436	A/Wisconsin/03/2020	2020-01-09	USA	4
MT169444	A/Wisconsin/03/2020	2020-01-09	USA	4
MT169452	A/Wisconsin/04/2020	2020-01-10	USA	4
MT169460	A/Wisconsin/04/2020	2020-01-10	USA	4
MT245310	A/California/07/2020	2020-01-06	USA	4
MT245316	A/Florida/03/2020	2020-01-02	USA	4
MT245323	A/Maryland/10/2020	2020-01-16	USA	4
MT245339	A/California/14/2020	2020-01-15	USA	4
MT245346	A/California/14/2020	2020-01-15	USA	4
MT245354	A/California/15/2020	2020-01-15	USA	4
MT245362	A/California/15/2020	2020-01-15	USA	4
MT245370	A/California/16/2020	2020-01-21	USA	4
MT245378	A/Colorado/01/2020	2020-01-01	USA	4
MT245386	A/Colorado/01/2020	2020-01-01	USA	4
MT245394	A/Connecticut/05/2020	2020-01-22	USA	4
MT245412	A/Delaware/04/2020	2020-01-10	USA	4
MT245415	A/Delaware/05/2020	2020-01-11	USA	4
MT245426	A/District Of Columbia/01/2020	2020-01-12	USA	4
MT245443	A/Florida/01/2020	2020-01-02	USA	4
MT245450	A/Florida/06/2020	2020-01-06	USA	4
MT245458	A/Florida/10/2020	2020-01-17	USA	4
MT245466	A/Florida/11/2020	2020-01-17	USA	4
MT245490	A/Hawaii/01/2020	2020-01-05	USA	4
MT245498	A/Hawaii/01/2020	2020-01-05	USA	4
MT245506	A/Hawaii/03/2020	2020-01-09	USA	4
MT245514	A/Hawaii/03/2020	2020-01-09	USA	4
MT245522	A/Idaho/03/2020	2020-01-03	USA	4
MT245563	A/Illinois/03/2020	2020-01-13	USA	4
MT245568	A/Illinois/03/2020	2020-01-13	USA	4
MT245578	A/Iowa/02/2020	2020-01-07	USA	4
MT245586	A/Iowa/03/2020	2020-01-09	USA	4
MT245594	A/Iowa/03/2020	2020-01-09	USA	4
MT245602	A/Iowa/05/2020	2020-01-14	USA	4
MT245610	A/Iowa/05/2020	2020-01-14	USA	4
MT245619	A/Iowa/06/2020	2020-01-15	USA	4
MT245627	A/Iowa/06/2020	2020-01-15	USA	4
MT245634	A/Iowa/07/2020	2020-01-20	USA	4
