strain	strain_name	date	country	clade	subclade	short-clade	glycosylation	RBD
MT245316	A/Florida/03/2020	2020-01-02	USA	3C.2a1b.2b	E.2	3C.2a1b.2b	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:126:NWT;HA1:133:NGT;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NGT	4
MT245443	A/Florida/01/2020	2020-01-02	USA	3C.2a1b.2b	E.2	3C.2a1b.2b	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:126:NWT;HA1:133:NGT;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NGT	4
MT245881	A/Montana/07/2020	2020-01-15	USA	3C.3a1	C.1	3C.3a1	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:133:NGT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NGT	4
MT245993	A/Oregon/02/2020	2020-01-01	USA	3C.2a1b.2b	E.2	3C.2a1b.2b	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:126:NWT;HA1:133:NGT;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NGT	4
MT342264	A/Idaho/05/2020	2020-01-07	USA	3C.2a1b.1b	D	3C.2a1b.1b	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:144:NSS;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NET	4
MT422929	A/Mississippi/11/2020	2020-02-10	USA	3C.2a1b.1a	B.1.2.1.1	3C.2a1b.1a	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NET	3
MT422985	A/Washington/24/2020	2020-03-02	USA	3C.2a1b.2b	E.2	3C.2a1b.2b	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:126:NWT;HA1:133:NGT;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NGT	4
MT467072	A/Louisiana/14/2020	2020-02-04	USA	3C.3a1	C.1	3C.3a1	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:133:NGT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NGT	4
MT467091	A/Maryland/19/2020	2020-03-09	USA	3C.2a1b.1b	D	3C.2a1b.1b	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:144:NSS;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NET	4
MT467156	A/South Dakota/12/2020	2020-03-10	USA	3C.2a1b.1a	B.1.2.1.1	3C.2a1b.1a	HA1:8:NST;HA1:22:NGT;HA1:38:NAT;HA1:45:NSS;HA1:63:NCT;HA1:122:NES;HA1:158:NYT;HA1:165:NVT;HA1:246:NST;HA1:285:NGS;HA2:154:NET	3
